panel,representation,model,protocol,seed,sample_id,sample_type,representation_split,umap_x,umap_y,silhouette_original,knn5_purity_original,status,budget_pct,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0323,Conflict,official_test,5.99973726272583,5.486664295196533,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0329,Conflict,official_test,-1.0214990377426147,7.006743907928467,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0331,Conflict,official_test,1.858720302581787,6.521394729614258,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0332,Conflict,official_test,2.0336763858795166,6.687241554260254,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0335,Conflict,official_test,5.999055862426758,5.576066493988037,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0342,Conflict,official_test,-2.377074956893921,8.74841594696045,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0355,Conflict,official_test,6.4128899574279785,4.834798812866211,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0362,Conflict,official_test,-0.15463104844093323,10.342020988464355,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0364,Conflict,official_test,0.9999897480010986,8.414806365966797,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0373,Conflict,official_test,7.637753963470459,4.46989107131958,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0375,Conflict,official_test,7.318912982940674,3.9474878311157227,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0390,Conflict,official_test,5.719654083251953,5.510127544403076,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0393,Conflict,official_test,8.475241661071777,1.3960100412368774,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0396,Conflict,official_test,7.718877792358398,4.667017459869385,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0412,Conflict,official_test,1.8766396045684814,7.014153003692627,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0423,Conflict,official_test,1.8332349061965942,7.082176685333252,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0424,Conflict,official_test,2.0058915615081787,6.6231207847595215,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0426,Conflict,official_test,1.6317673921585083,6.541569709777832,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0429,Conflict,official_test,1.863390564918518,7.134862422943115,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0432,Conflict,official_test,1.6971702575683594,6.728317737579346,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0443,Conflict,official_test,1.7010250091552734,7.01031494140625,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0444,Conflict,official_test,1.586323857307434,6.684177875518799,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0448,Conflict,official_test,1.8958024978637695,6.788175106048584,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0449,Conflict,official_test,1.6804910898208618,7.008995532989502,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0467,Conflict,official_test,0.411625474691391,10.439736366271973,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0470,Conflict,official_test,0.5961347818374634,10.416605949401855,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0484,Conflict,official_test,1.514754295349121,6.572749137878418,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0486,Conflict,official_test,1.5525531768798828,6.547878742218018,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0497,Conflict,official_test,1.626973032951355,6.709572792053223,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0499,Conflict,official_test,1.921284556388855,6.799667835235596,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0506,Conflict,official_test,1.8966225385665894,6.985109806060791,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
ac_umap,Single-Point,qwen3_vl_8b,VT,20260717,gen:accept_a_svt:S0533,Conflict,official_test,0.5367692112922668,10.233627319335938,0.03671437333952352,0.9006578947368421,Ready,,,,,,,,,
