sample_id,model,sample_type,S,D,R,stable,direction_emphasized,lean
gen:accept_c_svt:S0486,internvl3_5_8b,Aligned,0.0056961745063204465,7.265203381474422,-0.2924296025855111,true,false,T/A
gen:accept_c_svt:S0491,internvl3_5_8b,Aligned,0.00223119109625131,8.80843511720285,-0.8886833521687566,true,false,T/A
gen:accept_c_svt:S0496,internvl3_5_8b,Aligned,0.0016824892420074572,12.226500770674718,-0.14113147092224262,true,false,T/A
gen:accept_c_svt:S0500,internvl3_5_8b,Aligned,0.0034915206046342503,2.9920843880013965,-0.8179535261264389,true,false,T/A
gen:accept_c_svt:S0502,internvl3_5_8b,Aligned,0.003439201771124069,5.656630711314792,-0.6643535993361407,true,false,T/A
gen:accept_c_svt:S0503,internvl3_5_8b,Aligned,0.0023830990733156045,5.720285555657686,-0.8399748516029473,true,false,T/A
gen:accept_c_svt:S0504,internvl3_5_8b,Aligned,0.005807755022930415,6.943553263689906,-0.3707053948790855,true,false,T/A
gen:accept_c_svt:S0506,internvl3_5_8b,Aligned,0.0032313268463410867,5.422385357619687,-0.4937628874074845,true,false,T/A
gen:accept_c_svt:S0507,internvl3_5_8b,Aligned,0.001530507871299742,8.882558477232303,-0.4536179401830103,true,false,T/A
gen:accept_c_svt:S0518,internvl3_5_8b,Aligned,0.0023447271860522847,4.219583410903658,-0.7255253293695011,true,false,T/A
gen:accept_c_svt:S0525,internvl3_5_8b,Aligned,0.00288782656398502,6.0602685399674225,-0.8102674309651166,true,false,T/A
gen:accept_c_svt:S0527,internvl3_5_8b,Aligned,0.003164310062727719,6.109639704084429,-0.9226041994572701,true,false,T/A
gen:accept_c_svt:S0539,internvl3_5_8b,Aligned,0.0027630055805996623,7.5862539797864805,-0.7182093500846668,true,false,T/A
gen:accept_c_svt:S0542,internvl3_5_8b,Aligned,0.001236939030643209,6.286920669309502,-0.7277219262881486,true,false,T/A
gen:accept_c_svt:S0544,internvl3_5_8b,Aligned,0.004725398422839822,6.134933635206861,-0.5068315179447517,true,false,T/A
gen:accept_c_svt:S0574,internvl3_5_8b,Aligned,0.0021676200689481925,10.02788143093211,-0.9154174928400546,true,false,T/A
gen:accept_c_svt:S0591,internvl3_5_8b,Aligned,0.0018382132802338702,6.9090691897884495,-0.8172993314570726,true,false,T/A
gen:accept_c_svt:S0595,internvl3_5_8b,Aligned,0.0016030838264066644,7.474112060589817,-0.9109248405535627,true,false,T/A
