panel,model,sample_id,sample_type,S,D,R,direction_emphasized,status
bias,qwen3_vl_8b,gen:accept_a_svt:S0677,Conflict,0.005961924640508855,8.718074372951863,0.8444193607259466,false,Ready
bias,qwen3_vl_8b,gen:accept_a_svt:S0748,Conflict,0.007849478141073231,9.485720228432653,0.9391389886684598,false,Ready
bias,qwen3_vl_8b,gen:accept_a_svt:S0762,Conflict,0.008056722922731165,10.710934799145454,0.9167642257336556,false,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0035,Conflict,0.004655302450491727,15.092758016976816,0.9287495861276261,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0040,Conflict,0.004103783484264754,16.678714408013228,0.9679090023883563,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0116,Conflict,0.006770661676021449,6.726114564587751,0.5474922939747711,false,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0126,Conflict,0.00987904439710075,23.52155436097449,0.8657723043013984,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0143,Conflict,0.005697255302448378,23.390641423836,0.9939515830434696,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0147,Conflict,0.009139684981813388,13.348933625262587,0.8414438370285422,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0162,Conflict,0.005260994937591597,24.441853902485512,0.9852708896846004,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0168,Conflict,0.004375650385883327,13.50695964107391,-0.025479829872362178,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0174,Conflict,0.009260703406468987,10.431843199770672,0.9959023387074771,false,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0175,Conflict,0.005004460152553048,15.513656847760048,0.9898056836478814,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0177,Conflict,0.0030023650582585875,22.79953000899971,0.99591108936846,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0182,Conflict,0.003603057889221256,30.3195652493532,0.9918513499181579,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0193,Conflict,0.004638134689415852,24.203859835365627,0.9883698359192746,true,Ready
bias,internvl3_5_8b,gen:accept_a_svt:S0198,Conflict,0.005189060579941954,21.52372388898992,0.9954203229930516,true,Ready
