model,protocol,method,budget_pct,seed,accuracy,macro_f1,auprc,n_conflict_supervision,n_aligned_supervision,n_train,n_val,n_test,test_sample_ids_sha256,label_artifact_sha256,encoder_checkpoint_sha256,status
qwen3_vl_8b,VT,TME,100,20260717,0.7090909090909091,0.6783625730994152,0.495081242839503,510,764,509,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,f04212bb7ae2ec51a882231b3867cfe3c9e6124602fc365035c3b15b31ee3e2c,d9c0636f096b6304a95d8a1bdbe247f08258bfb2a1eea9d89046cf3133abeaed,Ready
internvl3_5_8b,VT,Single-Point,10,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,96121b05b0e7a8a8f16607a70dc65cd161fdaa34a4dd7fa5c2b230971162388f,Ready
internvl3_5_8b,VT,Trajectory MLP,10,20260717,0.6818181818181818,0.40540540540540543,0.3181818181818182,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,f1232ce21404e498fef903eb6e2940b9dbdc8a5b0ee822ac928696f7c1744175,Ready
internvl3_5_8b,VT,TME,10,20260717,0.6818181818181818,0.40540540540540543,0.4826032114733597,51,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,5cd9b06723e635013cf28a969ec648b3c7d7d078b80c865e33952ec6b4dace4e,Ready
internvl3_5_8b,VT,Single-Point,25,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,66752f04d004099a8e7a2075fb8ec396b3bb98e42e2770cc33c752df9cf87ccf,Ready
internvl3_5_8b,VT,Trajectory MLP,25,20260717,0.7454545454545455,0.7348484848484849,0.6528232829483722,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,ede85e00d2a8e6e29f90f0c414b97d2d9e0ae3dd9ea5b2674cf3cb6631a30ff6,Ready
internvl3_5_8b,VT,TME,25,20260717,0.6727272727272727,0.5957533687219274,0.44720739574396146,128,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,44385f30b1ca2d47db3be6f656f310d5139be9eddecfb223cd81302a3b112144,Ready
internvl3_5_8b,VT,Single-Point,50,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,c36856b78f262fcba55bf6513a3e80678b96e289980a430c6146a1bde8e2cd39,Ready
internvl3_5_8b,VT,Trajectory MLP,50,20260717,0.6818181818181818,0.40540540540540543,0.3181818181818182,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,8fd2575c742e227b0edd1a38b0b95a56e9e5e5ba7b4eb1c3912dc325bbe1b696,Ready
internvl3_5_8b,VT,TME,50,20260717,0.7454545454545455,0.7327316903852829,0.6139414544242693,255,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,92179567e7658f8702e16f3e6b885c666c4db6e631315ffc20cb4cff08847883,Ready
internvl3_5_8b,VT,Single-Point,100,20260717,0.7909090909090909,0.7728700960588921,0.7779288529888352,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,069e746641b67a09aa8716191c2ea25f36a8a877177372557d31e0f8a9537436,Ready
internvl3_5_8b,VT,Trajectory MLP,100,20260717,0.6818181818181818,0.40540540540540543,0.3635570899531839,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,d0270effb7735a499d53642bd470c950c78cd8263daca17b455a2eefa1360480,Ready
internvl3_5_8b,VT,TME,100,20260717,0.7545454545454545,0.7302697302697303,0.5409298300744875,510,764,510,112,110,6a45e2496f2f120459bc94a743afefeaf4b5cd65434459c4a293ed573e76cb21,71db38ff182d159ee5ffdf00a8e86831837ca33c7a4eff00829c21a1f9598fa2,b4b0d0ea2504ee5219e350daa61d38ce87da2b32d4e3500e3fb0c658a5d1f91f,Ready
